PersonName,Years,KidsNumber,CityOfResidence,VisitedCitiesInLastYearNumber
Eliseo Angulo Pérez,24,5,鎌ケ谷市,2
井上 里佳,32,3,สมุทรปราการ,7
Renata Trezzini,28,4,Velezzo Lomellina,7
โอภาส ดวงทับทิม,32,0,Las Palmas,7
Cristóbal Albero Montalbán,28,3,Triponzo,5
Flavio Zaragoza Montalbán,25,3,Cuenca,4
ศศิยา ถนอมพลกรัง,22,2,กรุงเทพมหานคร,2
Luis Miguel Ángel Correa,37,2,สมุทรสาคร,3
วณัฐดา ถ้วนศรี,19,5,いすみ市,6
Christopher Scott,40,2,横浜市金沢区,3
佐藤 稔,27,1,大島町,4
อชิตะวีร์ ทัศนสุทธิ,38,4,เกาะสมุย,5
Kara Martin,24,1,Maddalena,4
Pellegrino Borsiere,32,5,Borgo Perrone,2
Ale Gomila Amigó,28,4,Millerbury,2
Piermaria Ferrari,26,0,北区,2
Joaquín Ortuño Gomez,39,5,Vadi,7
渡辺 さゆり,26,3,Roccabernarda,6
藤井 裕樹,33,1,Casalsigone,1
池田 直樹,36,5,立川市,6
Tyler Neal,36,1,Fontevivo,1
Victoria Mayol Blanes,35,6,Watersberg,9
渡辺 洋介,25,4,นครสวรรค์,5
林 美加子,40,2,South Stevenhaven,9
清水 篤司,39,0,Montesano Scalo,8
กิติยาธรณ์ ถุงเงิน,24,3,แหลมฉบัง,3
鈴木 翔太,18,4,South John,2
Roberto Arce,32,5,Solferino,9
อรพิณ ทรัพย์สาร,34,2,Tivoli Terme,4
Lisa Russell,30,5,ตรัง,1
Kendra Owen,26,0,Losine,4
Donato Infantino,20,3,พัทยา,6
Pilar Ferrández,36,1,昭島市,4
Rebecca Freeman,19,3,Feriole,9
Andrés Galán Checa,36,4,ระยอง,7
Michael Hunt,33,4,Tarragona,3
Shannon Molina,39,0,Barcelona,9
渡辺 幹,27,6,Calascibetta,8
James Wright,24,4,Toline,7
Michael Johnson,31,1,狛江市,10
高橋 学,19,5,สุราษฎร์ธานี,1
Vanessa Sosa,25,6,Alicante,2
Ruggero Prodi,18,6,印西市,2
Giovanni Guicciardini-Jovinelli,39,3,大網白里市,3
佐藤 舞,40,6,Álava,4
石井 陽一,18,0,หาดใหญ่,9
Shannon Robinson,34,0,白井市,8
อัญธิกา ธรรมเมธา,37,6,Málaga,9
Daniel Dunn,22,1,西多摩郡檜原村,7
Leonor María Marcos Barrena,21,1,袖ケ浦市,5
Alex Ferguson,35,5,Granada,10
Nuria Tomas Muñoz,34,1,Smithton,3
Felicia Wood,31,2,Tirolo,5
Vittorio Santi,25,2,เชียงราย,4
Ascensión Daza Mateu,39,2,อุดรธานี,5
渡辺 桃子,40,3,นครศรีธรรมราช,9
ปิยวดี ราชมณี,34,4,Tarragona,8
Gioele Cicala-Polesel,37,6,Almería,9
David Johnson,35,6,西東京市,2
Rafaela Serra Malo,27,6,長生郡一宮町,1
Calogero Veneziano,22,1,North Steven,4
Jorge Cruz,24,3,Carbognano,7
渡辺 充,30,4,杉並区,3
ศรลักษณ์ ทหารแท้,23,3,Alvarezton,7
เฉลิมพล ธรรมเมธา,25,6,Pontevedra,2
Marcantonio Morrocco,26,4,แม่สอด,6
Janet Lara,39,1,Turano,6
วีระวัฒน์ นิลวิมล,23,2,Sanchezberg,7
木村 翔太,18,3,Jaén,8
Holly Williams,28,0,Raymondstad,9
Antonietta Ferragamo,26,2,中野区,8
พาดีล๊ะ ถนัดกลึง,34,0,Soria,3
เชิงชาย วาทา,36,4,Asturias,9
Bryan Miller,18,0,Pau,7
Craig Walsh,28,2,Carnago,1
Marta Taccola-Folliero,35,3,ระยอง,6
Todd Garcia,29,2,西多摩郡檜原村,10
Sean Jones,33,0,Villa Poma,6
Justin Patrick,25,4,Lorica,5
เกียรติก้อง ติณรัตน์,36,5,ภูเก็ต,8
จณิตตา นาคะนคร,21,4,ตรัง,9
加藤 直人,20,5,Kristaland,1
Tara Klein,28,1,Josephland,9
Dott. Nino Farinelli,33,6,Vargasborough,8
Chelo Cifuentes Tudela,37,4,West Nicole,3
橋本 美加子,38,6,อ้อมน้อย,8
Kristina Graves,22,4,Cantabria,4
Giulia Comolli,39,3,อุดรธานี,4
Casemiro Salamanca Palomo,35,6,西東京市,1
山田 拓真,26,5,New Jimstad,6
井上 直樹,32,5,稲城市,8
Enrique Benitez Peinado,30,1,Port Meganport,5
พิมพกานต์ ถุงเงิน,27,1,日野市,2
คมกฤชญ์ ปรีชากุลเศรษฐ์,36,6,Baleares,7
วรรณนิสา ถนัดอักษร,29,6,小平市,6
Tyrone Benjamin,32,3,New Shannonmouth,4
Amalia Gual Pina,28,5,พัทยา,5
Eloísa Solano Aragón,25,5,สมุทรปราการ,2
Aria Sinisi-Sgarbi,25,6,South Michelle,2
中村 里佳,22,5,Dipignano,2
林 明美,24,4,神津島村,7
Matthew Dillon,36,2,West Heatherport,7
สุรการณ์ นิยมสำหรวจ,19,5,長生郡睦沢町,5
ณัฐธิตา ชุมวระ,24,4,South Robert,9
佐々木 健一,37,2,Lubrichi,7
โกมล ทองประดิฐ,22,4,นครสวรรค์,5
Adoración Fabregat,25,1,Poggiardo,5
บุญเกิด ร่มธิติรัตน์,39,3,Mccoyfurt,4
Tiziano Borsellino,40,0,Polcanto,1
Natasha May,34,1,川崎市多摩区,4
ธนกิตต์ สังข์กรด,28,5,Pollardview,3
อนิวัฒน์ ทองสินธุ์,40,6,East Sarah,4
Sig.ra Lidia Bersani,18,2,日野市,9
Esperanza Terrón Sierra,23,2,Soria,5
Amber Floyd,39,2,อุดรธานี,6
Lauretta Fabbri,24,4,Scottmouth,6
Casemiro Verdú Benítez,27,2,江戸川区,6
佐藤 知実,23,5,เชียงราย,3
ณัฐพิชา ฉิมพาลี,33,4,Valladolid,2
Moreno Barranco Lillo,23,3,New Audrey,10
Anita Calderon Jove,19,2,East Jerryfurt,4
Luciano Onisto,34,4,East Ginaport,7
ประวี ศรีวงค์,20,1,品川区,9
Kim Frazier,36,3,Lake Michael,9
Napoleone Cerquiglini-Venditti,19,4,เชียงราย,6
Sancho José Ángel Guerrero Gomez,37,0,横浜市鶴見区,4
กวาง อุ่นอก,29,0,Quarto Di Sarsina,4
ดวงพร ทวีเดช,32,2,Ourense,5
Elizabeth Robinson,38,6,横浜市緑区,2
Ruth Evangelina Tamarit Cañas,35,1,Navarra,3
Concha Valle-Sevillano,30,5,ปากเกร็ด,7
อรจิรา หอมสิน,32,5,新島村,7
ภาสวุฒิ ถุงเงิน,37,1,นครราชสีมา,4
Tatiana Reyes Avilés,26,4,นครสวรรค์,6
鈴木 学,25,3,杉並区,10
Scott Thomas,35,3,長生郡一宮町,8
Sig.ra Bianca Pelli,40,6,Ceppaloni,6
รอกีเย๊าะ ตันยา,30,3,Col San Giovanni Di Viu',9
Jennifer Andrews,20,3,Almería,1
Chus Domingo Vargas Menendez,27,5,夷隅郡大多喜町,1
วิชชากร มิ่งขวัญ,18,5,Segovia,5
Anthony Lee,31,5,Bessica,1
Eric Hatfield,23,6,Numana Lido,2
Angela Duncan,18,4,พัทยา,1
Robert Dodson,19,3,La Rioja,3
Ricardo Gras Jover,27,3,川崎市幸区,7
Kimberly Edwards,34,4,Girona,7
三浦 陽子,31,0,Camatta,10
Michael Ellis,40,5,Port Nathaniel,6
伊藤 七夏,37,2,Hectorshire,7
María Belén Garzón Mariscal,39,0,Valencia,6
เพ็ญยุภา แนวพนิช,19,6,Amandamouth,6
Juan Francisco Barreda Higueras,25,2,Cantone,3
Claudia de Águila,37,1,นครราชสีมา,3
เถลิงยศ โพธิสัตย์,27,5,Vigolo Vattaro,7
吉田 英樹,36,5,Belfiore,6
中村 さゆり,36,4,Collinsland,4
Graciano Nevado Lobo,31,3,East Hannah,6
Baldassare Petrucelli-Lombardi,35,1,Rignano Garganico,4
Román Velázquez Ugarte,35,4,East Sheilabury,2
วรศาสส์ หนักแน่น,37,2,สกลนคร,10
Cathy Blevins,23,2,Almería,10
Jonathan Brennan,18,0,Jaén,8
ชนิศา นาคสุทิน,22,3,稲城市,7
วันฉัตร ทันยุค,40,4,Santa Croce Sull'Arno,3
เกศรา ปรีชากุลเศรษฐ์,20,5,South Geoffreyport,8
กวาง ถนัดพิมพการ,37,3,North Ryan,4
Shane Jones,35,4,Granada,5
Miguel Ángel Mascaró-Belmonte,21,2,Valladolid,5
อัญธิกา ทรัพย์สาร,32,5,Montegualtieri,2
Benita Sarita Río Lago,36,3,เชียงราย,6
伊藤 舞,21,2,小金井市,2
Sig. Claudio Cassarà,33,6,中央区,6
Ariel Cabrera Tenorio,20,5,Markside,9
Megan Mcgee,30,2,Martinmouth,5
Robin Jackson,39,5,Pontevedra,9
Pamela Coleman,28,3,Ceriale,8
Cristina Mendoza Hidalgo,19,4,ภูเก็ต,10
Michael Ramirez,34,2,León,9
Adriana Cristoforetti,28,6,大田区,9
藤井 翔太,36,3,荒川区,1
山本 治,40,5,เกาะสมุย,4
Jeffrey Johnson,36,5,สงขลา,3
ดารุนี ตราชู,18,0,ระยอง,10
Serafina Quintero Aguiló,19,3,Ianton,4
ธีราทัต ดัตพันธุ์,30,0,渋谷区,6
Kathleen Simon,28,1,羽村市,10
Evangelina Zaragoza Catalá,36,3,Pezze Di Greco,8
Bernabé Cabanillas Bello,35,6,Lleida,6
長谷川 陽子,32,4,武蔵野市,4
佐藤 稔,33,1,Sevilla,7
สัญชาน ประจันตะเสน,35,0,豊島区,7
藤井 さゆり,18,0,富津市,3
Amanda Gonzalez,21,2,อ้อมน้อย,5
石川 淳,36,2,กรุงเทพมหานคร,9
岡本 亮介,39,1,เชียงใหม่,10
Fabio Vendetti,18,1,Ceuta,5
พรรณปพร นกทอง,22,4,Salerno,8
Luigi Vecoli,21,3,Coccorino,1
Salomón Gabriel Zamorano Palmer,23,1,富津市,6
Dott. Susanna Almagià,31,5,East Miranda,6
Greca Salvemini,25,1,横浜市金沢区,9
ทานตะวัน ทองเนื้อดี,37,1,หาดใหญ่,4
佐藤 英樹,31,4,สงขลา,1
อารีย์ นุชแนวนุ่ม,23,1,รังสิต,4
Lisa Warren,18,3,Jonesfurt,7
Alejandra Rubio Conde,18,5,Gagliano Castelferrato,9
Arnulfo Cimini,22,5,Olsonton,7
三浦 あすか,34,2,กรุงเทพมหานคร,1
วิชชากร ซาซุม,28,3,Cerdomare,7
山本 充,39,1,Lake Cynthiaberg,2
ปิยะนันท์ ถนัดการยนต์,18,3,Johnchester,8
อำไพ บุญญาไลย์,18,4,Castelnuovo Di Conza,2
石川 あすか,36,4,武蔵野市,7
山本 洋介,27,0,ยะลา,9
Tiziana Mercantini,27,4,三鷹市,7
Niccolò Lettiere,36,6,นครราชสีมา,5
Palmira Mayo,38,3,Ramuscello,8
高橋 千代,40,1,港区,9
Veronica Micheletti,24,0,พิษณุโลก,3
Ana Valencia Pino,21,6,世田谷区,9
บุญญกัลป์ ทัศนสุทธิ,22,1,国分寺市,3
รอกีเย๊าะ ธนประทีป,36,3,Sarteano,6
James Christian,40,5,สุราษฎร์ธานี,8
ธีรวุฒิ ตราชู,30,1,พัทยา,1
Jorge Barber,31,4,เจ้าพระยาสุรศักดิ์,7
高橋 直樹,25,4,West Derekland,4
Jonathan Orr,33,6,杉並区,10
วิถี ถนัดการยนต์,28,4,Valencia,10
จักรกฤนาย ไทยแท้,18,2,夷隅郡大多喜町,1
木村 陽子,37,1,Castellazzo Novarese,2
Marcial Donoso Barón,27,4,เกาะสมุย,1
Rafaela Barberá Izquierdo,18,3,横浜市港北区,7
ปิยะนันท์ ทีฆะ,25,1,大島町,9
Ezio Surian,31,4,山武市,1
James King,37,5,Lake Jimmy,3
Aitor Chamorro Bou,34,1,御蔵島村,1
ณาร์รีมาน ทีฆะ,26,1,小平市,10
阿部 翼,36,1,ปากเกร็ด,4
Valerie Gibson,22,1,San Nicola La Strada,4
นราวรรณ บินดี,33,0,Toledo,1
佐藤 千代,18,3,นครศรีธรรมราช,8
Dr. Bobby Smith,36,1,Bakerside,7
Laura Caro,37,0,รังสิต,8
Corona Palomo Hervia,24,5,Zaragoza,9
鈴木 陽一,29,0,พิษณุโลก,5
Dorotea Guardiola Sanabria,19,4,Henryborough,6
สุทกร นพคเชนทร์,38,4,Paperino,6
พิชญ์สินี ดาวอร่าม,37,1,川崎市幸区,5
坂本 英樹,25,4,Albacete,8
Toni del Revilla,25,3,立川市,4
森 裕美子,25,3,อุบลราชธานี,4
David Harris,23,0,Ceuta,8
Angela Gallagher,25,4,Gainazzo,2
Milena Tamburello,24,3,Castagneto Carducci,1
Maximiano Muñoz,24,1,South Mary,4
Jeremy Ferguson,25,2,目黒区,9
Jimena Losa Pi,27,3,Guipúzcoa,3
山下 陽子,40,6,Michaelstad,3
池田 さゆり,21,0,北区,7
Jillian Martin,40,0,สมุทรสาคร,7
山本 篤司,35,6,Valladolid,1
Hugo Paltrinieri,25,1,Pieve Santo Stefano,9
Telemaco Zaccardo,21,5,สมุทรปราการ,5
Marcus Moore,20,4,Glennbury,3
Frederick Rodriguez,31,2,立川市,10
Sig.ra Etta Boldù,37,5,山武郡横芝光町,9
อัครพนธ์ นามเสวตร,19,4,เจ้าพระยาสุรศักดิ์,4
Thomas Gregory,30,3,Piano Maglio,6
Shelby Hunter,31,1,Palencia,2
Donald Hoffman,25,2,Josephburgh,10
Flora Sollima,24,5,Alicante,1
Emelina Puig Novoa,31,0,西多摩郡瑞穂町,6
Kike Torre Hurtado,21,6,横浜市金沢区,6
Azahar Parejo,24,3,West Stevenville,4
รมิตา แนวพนิช,35,6,Asturias,6
Carmelo Cheda-Agostinelli,25,1,川崎市多摩区,9
田中 裕美子,20,3,練馬区,6
佐藤 学,19,3,北区,1
中村 陽一,20,3,North Jocelyn,2
佐藤 京助,40,6,Josephfurt,2
Alexandra Molina,30,0,Williamport,6
สุรวัช นำธวัช,20,3,Ourense,1
Gustavo Marti-Patiño,26,3,East Joel,2
Armando Gioberti,33,6,สมุทรปราการ,5
Ruth Campos Pinilla,27,1,浦安市,10
高橋 美加子,19,1,三宅島三宅村,2
โยธิการ์ พรมอ่อน,36,2,川崎市多摩区,8
Marcello Cossiga,33,4,แม่สอด,9
佐藤 康弘,35,4,La Coruña,2
田中 太一,23,1,Pietranico,10
Christopher Clark,38,6,เชียงใหม่,9
Giampaolo Donà-Gianvecchio,37,5,แหลมฉบัง,8
Carolina Omma-Galuppi,26,1,Cádiz,10
山崎 明美,23,5,อุบลราชธานี,6
Christopher Mills,19,2,Palu',7
Aaron Green,31,0,Navarra,10
Corey Wilson,29,1,Carrollport,10
近藤 智也,31,5,ยะลา,8
高橋 香織,26,1,Álava,5
藤田 亮介,39,1,นครศรีธรรมราช,3
吉田 涼平,25,3,Nole,2
Andrés Tur Mayol,36,2,Iseo,1
Benito Luna,36,1,多摩市,4
Teo Rodríguez Fernandez,18,4,Las Palmas,4
พิไลพร ทรัพย์สาร,35,1,Ourense,5
藤田 涼平,30,2,杉並区,4
นิรุตต์ ถุงเงิน,22,1,North Aaronberg,5
Megan Hickman,31,5,横浜市保土ケ谷区,5
ราชพฤกษ์ ฉิมพาลี,33,2,Carinola,10
Adriano Leopardi,40,3,Segovia,10
村上 知実,30,1,นครปฐม,2
Luis Ángel de Benet,38,6,日野市,9
Edward Hughes,19,4,Melilla,8
Beth Miller,36,4,Albacete,5
David Moss,36,3,富里市,2
Heather Galvan,23,6,สกลนคร,8
วิเชียร แก้วอยู่,20,6,Olle,3
Cosme Sainz,27,4,แม่สอด,3
Sebastiano Canil,34,4,豊島区,10
高橋 淳,33,5,Notaresco,9
Guadalupe Aramburu-Baró,32,2,Palencia,8
Sharon Haynes,23,0,Soria,3
池田 真綾,33,0,福生市,1
山下 拓真,18,0,East Rachelburgh,1
中村 七夏,40,5,West Theresafurt,3
Stephen Gray,25,0,East Andrewfurt,6
Giulietta Liverotti-Barese,40,2,North Lauren,7
Amando Vizcaíno Blanes,25,3,あきる野市,2
Girolamo Casaleggio,21,0,อุบลราชธานี,7
Benvenuto Brenna,18,3,Fara Olivana,3
Christine Moss,39,6,Ourense,9
พรปราณี ศรีตะวัน,26,6,Soria,7
Eraldo Filippelli,22,5,North Bethanyfurt,2
中村 直子,26,3,Almería,5
Taylor Carrillo,37,3,Cantabria,2
Virgilio Coardi,19,5,อุบลราชธานี,8
Dott. Nina Botticelli,33,4,Ceuta,9
สุทธิณัฐ นิติสาขา,33,6,利島村,8
ศรายุธ ธรรมเมธา,23,1,Guadalajara,7
田中 結衣,25,4,ระยอง,1
บุญนพ ทองลาภ,36,5,大網白里市,4
Juana Sarmiento Barrios,20,4,印西市,8
Tina Dallapé,29,2,พระนครศรีอยุธยา,7
Bernardo Armellini,26,4,Il Castagno,5
Guadalupe Vaquero-Benet,22,1,San Rocco Monta',9
Rodolfo Feliciano Perez Esteve,33,3,川崎市幸区,9
石井 京助,19,2,Cuenca,5
Lope Moll Sosa,18,3,墨田区,7
Erik Walker,19,4,八王子市,2
Roberto Giradello,29,3,Coreyburgh,2
Leonel Menendez Lledó,21,1,North Kristen,1
Bárbara Benitez Benavente,20,5,Crystalland,7
小林 春香,31,5,Foresta Di Burgos,10
พิชญ์สินี สังข์กรด,22,3,New Gina,2
佐藤 千代,33,4,横浜市都筑区,7
Penny Brown,20,0,รังสิต,2
Alderano Callegaro-Bulzoni,20,5,ภูเก็ต,8
Kelly Ross,35,4,West Kristenshire,5
ธีราทัต ดาวกระจาย,39,0,West Jennifer,2
Liliana Fiol Quintanilla,24,6,三鷹市,5
Ainara Pardo Colom,24,1,ขอนแก่น,10
Maxi de Cordero,21,5,New Kimberly,6
Lisa Vincent,36,1,Tarragona,8
ราชัน นรวิทย์โชติกุล,27,4,Albacete,7
เยาวรัตน์ ซูสารอ,28,6,หาดใหญ่,1
Philip Cox,24,5,ขอนแก่น,8
阿部 陽一,38,0,Mili Superiore,9
Mirko Cociarelli,39,5,Cooleyborough,1
Levi Huff,28,2,Madrid,3
James Casey,30,6,夷隅郡御宿町,8
พรชนก นุชแนวนุ่ม,25,2,Robertfurt,7
Angela White,19,2,Avigliano Scalo,1
Jenaro Barberá,23,6,ตรัง,1
Alessandra Dovara,32,4,Jeffreystad,7
Emilia Carranza,24,6,East Caitlin,10
Florencia Morcillo Fuente,24,2,文京区,8
小川 千代,18,2,Crociara,10
Christopher Melendez,30,6,Palencia,4
Brenda Haynes,22,2,Santa Maria La Fossa,3
Dott. Ermenegildo Ferrari,40,5,香取郡東庄町,7
Roman Pugliese,24,0,川崎市高津区,4
Abel Jose Antonio Arco Royo,40,1,横浜市栄区,8
山田 直樹,24,1,Girona,9
Luis Miguel Alarcón Cerezo,36,6,Johntown,9
ดวงพร ธนูปกรณ์,18,1,西多摩郡檜原村,7
Daniel Miller,19,5,East Elijahtown,9
Maurizio Barbarigo-Piovani,19,4,新宿区,5
Paola Murialdo-Montanariello,37,6,Ávila,4
วิชชากร นิลสุวรรณ์,39,3,富津市,7
Ceferino Marco Girón,28,3,Tschars,6
Livio Caffarelli-Majorana,34,6,Lake David,1
Gustavo Bajamonti,18,5,Soria,4
高橋 結衣,23,4,Shafferside,7
佐藤 舞,38,2,八王子市,5
Bianca Tiepolo-Saraceno,21,2,横浜市泉区,5
中村 裕美子,34,6,Alberese,3
สุภาพร แก้วชลคราม,21,6,Poggio Morello,7
山口 明美,18,1,Jenniferhaven,3
Maristela Sierra Suarez,18,2,Sevilla,2
Tomás Elías Miralles,36,2,Giavenale,1
斎藤 康弘,26,6,Alicante,9
Brunilda Puente Dávila,35,2,印西市,8
ธีรวุฒิ ภูภักดี,26,6,เชียงราย,6
井上 亮介,36,3,Almería,7
Ramón Milla Izaguirre,38,2,Lleida,1
Lupita Pedraza Cañizares,23,4,白井市,8
Odalis Borrell Sedano,37,0,พระนครศรีอยุธยา,4
พรรณปพร ดุษฎีวนิช,33,6,Benjaminhaven,8
鈴木 香織,36,4,Almería,6
Andrea Houston,20,6,Baleares,10
Benigna Quintero-Donaire,37,0,町田市,7
David Mariano Salvà Zaragoza,28,2,พัทยา,2
Amaya Ballesteros Solera,37,1,León,7
Elizabeth Gaines,18,5,青梅市,1
Meghan Hill,28,6,ปากเกร็ด,1
Brandon Nguyen,20,0,Vizcaya,8
ยุลิน ทองลาภ,38,2,新島村,2
Kimberly Shepard,27,5,Cantabria,6
佐々木 修平,26,0,稲城市,10
Todd Simpson,22,4,Valladolid,2
ไชยภพ ตัณสถิตย์,35,3,สมุทรปราการ,7
เมษา ทุมะบุตร์,26,1,Ripafratta,5
Nuria Serrano Llabrés,24,5,Niccone,5
Kayla Andrews,38,5,East Kellyton,9
Laura Lawson,26,6,ภูเก็ต,10
Romina Cicilia-Ficino,28,5,ลำปาง,8
พิไลพร ถนอมพล,27,0,ขอนแก่น,7
เจษฎากร พรมอ่อน,29,6,Valsolda,5
Samu Esteve Calzada,20,6,West Tylerborough,5
三浦 充,23,5,New Hannahmouth,4
Noa Villanueva Álamo,27,0,New Ethanport,9
